datetime,position,value
2014-04-11 16:37:58,ai5,0.00298
2014-04-11 16:37:58,ai6,0.00738
2014-04-11 16:37:58,ai8,-0.00101
2014-04-11 16:37:58,ai9,-0.00103
2014-04-11 16:37:58,ai10,-0.00107
2014-04-11 16:37:58,ai7,-0.02461
2014-04-11 16:37:59,ai0,0.00306
2014-04-11 16:37:59,ai2,-0.00573
2014-04-11 16:37:59,ai3,-0.00457
2014-04-11 16:37:59,ai4,0.00098
2014-04-11 16:37:59,ai5,-0.00113
2014-04-11 16:37:59,ai6,0.00819
2014-04-11 16:37:59,ai8,-0.00089
2014-04-11 16:37:59,ai9,-0.00112
2014-04-11 16:37:59,ai10,-0.0009
2014-04-11 16:37:59,ai7,-0.0246
2014-04-11 16:38:00,ai0,-0.00023
2014-04-11 16:38:00,ai2,0.00085
2014-04-11 16:38:00,ai3,-0.00128
2014-04-11 16:38:00,ai4,-0.00314
2014-04-11 16:38:00,ai5,-0.00072
2014-04-11 16:38:00,ai6,0.00761
2014-04-11 16:38:00,ai8,-0.00075
2014-04-11 16:38:00,ai9,-0.0007
2014-04-11 16:38:00,ai10,-0.00145
2014-04-11 16:38:00,ai7,-0.0246
2014-04-11 16:38:01,ai0,0.00594
2014-04-11 16:38:01,ai2,-0.0008
2014-04-11 16:38:01,ai3,-0.00951
2014-04-11 16:38:01,ai4,-0.00108
2014-04-11 16:38:01,ai5,-0.00072
2014-04-11 16:38:01,ai6,0.00596
2014-04-11 16:38:01,ai8,-0.00104
2014-04-11 16:38:01,ai9,-0.00112
2014-04-11 16:38:01,ai10,-0.00067
2014-04-11 16:38:01,ai7,-0.0246
2014-04-11 16:38:02,ai0,-0.00352
2014-04-11 16:38:02,ai2,0.00043
2014-04-11 16:38:02,ai3,0.00735
2014-04-11 16:38:02,ai4,0.0018
2014-04-11 16:38:02,ai5,0.00052
2014-04-11 16:38:02,ai6,0.00295
2014-04-11 16:38:02,ai8,-0.00095
2014-04-11 16:38:02,ai9,-0.00077
2014-04-11 16:38:02,ai10,-0.00064
2014-04-11 16:38:02,ai7,-0.02459
2014-04-11 16:38:03,ai0,-0.00311
2014-04-11 16:38:03,ai2,0.01153
2014-04-11 16:38:03,ai3,-0.00169
2014-04-11 16:38:03,ai4,-0.00026
2014-04-11 16:38:03,ai5,-0.00031
2014-04-11 16:38:03,ai6,-0.00265
2014-04-11 16:38:03,ai8,-0.00095
2014-04-11 16:38:03,ai9,-0.00093
2014-04-11 16:38:03,ai10,-0.0009
2014-04-11 16:38:03,ai7,-0.0246
2014-04-11 16:38:04,ai0,0.00141
2014-04-11 16:38:04,ai2,2e-05
2014-04-11 16:38:04,ai3,-0.00334
2014-04-11 16:38:04,ai4,-0.00437
2014-04-11 16:38:04,ai5,0.00134
2014-04-11 16:38:04,ai6,-0.00759
2014-04-11 16:38:04,ai8,-0.00089
2014-04-11 16:38:04,ai9,-0.00091
2014-04-11 16:38:04,ai10,-0.00113
2014-04-11 16:38:04,ai7,-0.02459
2014-04-11 16:38:05,ai0,-0.00105
2014-04-11 16:38:05,ai2,0.00043
2014-04-11 16:38:05,ai3,-0.00087
2014-04-11 16:38:05,ai4,-0.00149
2014-04-11 16:38:05,ai5,0.00175
2014-04-11 16:38:05,ai6,-0.0081
2014-04-11 16:38:05,ai8,-0.00102
2014-04-11 16:38:05,ai9,-0.001
2014-04-11 16:38:05,ai10,-0.00095
2014-04-11 16:38:05,ai7,-0.0246
2014-04-11 16:38:06,ai0,-0.00105
2014-04-11 16:38:06,ai2,-0.00203
2014-04-11 16:38:06,ai3,0.03407
2014-04-11 16:38:06,ai4,0.00344
2014-04-11 16:38:06,ai5,0.00011
2014-04-11 16:38:06,ai6,-0.00337
2014-04-11 16:38:06,ai8,-0.00106
2014-04-11 16:38:06,ai9,-0.00101
2014-04-11 16:38:06,ai10,-0.00099
2014-04-11 16:38:06,ai7,-0.0246
2014-04-11 16:38:07,ai0,-0.00146
2014-04-11 16:38:07,ai2,0.00126
2014-04-11 16:38:07,ai3,0.00571
2014-04-11 16:38:07,ai4,0.0018
2014-04-11 16:38:07,ai5,0.00216
2014-04-11 16:38:07,ai6,-0.00309
2014-04-11 16:38:07,ai8,-0.00102
2014-04-11 16:38:07,ai9,-0.00103
2014-04-11 16:38:07,ai10,-0.00105
2014-04-11 16:38:07,ai7,-0.0246
2014-04-11 16:38:08,ai0,-0.00229
2014-04-11 16:38:08,ai2,0.00249
2014-04-11 16:38:08,ai3,-0.00334
2014-04-11 16:38:08,ai4,0.00056
2014-04-11 16:38:08,ai5,0.00093
